ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2021,"2021","04000US25","Massachusetts",30639,1380.3930599651678,0.8375252344332323,"Boston, MA","16000US2507000","boston-ma",81612,10394,30963,-1.0464102315667088,78850,3.50285351934052,8.182422706429982
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2021,"2021","04000US25","Massachusetts",37209,1683.2400304175278,0.895743977618682,"Boston, MA","16000US2507000","boston-ma",81225,4819,39983,-6.93794862816697,77659,4.5918695836928105,9.937000766459517
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2021,"2021","04000US25","Massachusetts",257,206.90335908341362,0.11085331578984335,"Boston, MA","16000US2507000","boston-ma",96280,79152,348,-26.14942528735632,89232,7.8985117446655915,0.06863417982155114
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations",2021,"2021","04000US25","Massachusetts",8521,654.3615208735916,0.45303972331670295,"Boston, MA","16000US2507000","boston-ma",106477,29690,9719,-12.326371025825702,83354,27.74072030136526,2.2756102967293277
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2021,"2021","04000US25","Massachusetts",4229,482.0663854698853,0.3681304071175773,"Boston, MA","16000US2507000","boston-ma",98235,19569,4529,-6.62397880326783,96036,2.289766337623391,1.1293927878028784
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2021,"2021","04000US25","Massachusetts",7266,740.489702831849,0.3513574522165614,"Boston, MA","16000US2507000","boston-ma",71517,6838,7895,-7.967067764407854,69756,2.5245140202993293,1.9404511695851772
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2021,"2021","04000US25","Massachusetts",10826,987.3140331221877,0.7571938760507794,"Boston, MA","16000US2507000","boston-ma",63662,9663,10623,1.9109479431422387,58321,9.15793624937844,2.8911814425996596
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2020,"2020","04000US25","Massachusetts",46344,1601.530517973354,1.1483070111077258,"Boston, MA","16000US2507000","boston-ma",176465,8983,44532,4.068984101320399,170516,3.488822163316053,12.061211742660836
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2020,"2020","04000US25","Massachusetts",34819,1620.710955105814,1.6408912832025244,"Boston, MA","16000US2507000","boston-ma",157977,6330,32521,7.066203376279942,151200,4.482142857142858,9.061784301478243
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2020,"2020","04000US25","Massachusetts",17794,1023.5663144125054,1.4231022964676616,"Boston, MA","16000US2507000","boston-ma",167722,8379,17222,3.3213331784926257,162368,3.2974477729601896,4.6309598167811785
